site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
Mission Bay Park - Robb Field Restroom #3,"W. Pt. Loma Blvd. & Bacon St., 92107",0,0,8:00am - Dusk,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Santa Clara Recreation Center,"1008 Santa Clara Pl., 92109",0,0,Rec. Center Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Sunset Point Comfort Station,"1400 Dana Landing Rd, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Tecolote North Comfort Station,"1740 E Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Tecolote South Comfort Station,"1740 E Mission Bay Dr, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Ventura Point Comfort Station,"3211 Gleason Road, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Hills Comfort Station,"1586 Washington Place, 92103",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Trails Cowles Mountain Comfort Station,"7001 Golfcrest Drive, 92119",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mountain View Comfort Station,"551 S. 40th St., 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mountain View Recreation Center,"551 S. 40th St., 92113",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mt. Acadia Comfort Station,"3865 Mt Acadia Boulevard, 92111",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mt. Etna Comfort Station,"4741 Mt Etna Drive, 92117",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Naval Training Center Comfort Station #1,"Cushing Rd. & Rosevelt, 92106",0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Naval Training Center Comfort Station #2,"Cushing Rd. & Farragut St., 92106",0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Naval Training Center Comfort Station #3,"2775 1/3 Cushing Rd., 92106",0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
North Park Adult Center,2719 Howard Avenue,0,0,Adult Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ocean Beach Recreation Center,"1984 Ebers St., 92107",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Olive Grove Comfort Station,"6075 Printwood Way, 92117",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Palm Ridge Comfort Station,"751 Firethorn St., 92154",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Peñasquitos Skate Park Restroom,"10129 Carmel Mountain Rd., 92129",0,0,Skate Park Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Presidio Park Recreation Center,"2811 Jackson St., 92110",0,0,Rec. Center Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Rancho Bernardo Comfort Station #1,"18448 W Bernardo Drive, 92127",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Rancho Bernardo Comfort Station #2,"18448 W Bernardo Drive, 92127",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Rancho Bernardo Ed Brown Senior Center,"18402 W Bernardo Drive, 92127",0,0,Senior Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Rancho Bernardo Recreation Center,"18448 W Bernardo Drive, 92127",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Robert Egger-South Bay Recreation Center,"1885 Coronado Ave., 92154",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Sabre Springs Comfort Station,"12953 Sabre Springs Parkway, 92128",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Sage Canyon Comfort Station,"5252 Harvest Run Drive, 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Scripps-Miramar Ranch Comfort Station,"11424 Blue Cypress Dr., 92131",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Scripps-Miramar Ranch Recreation Center,"11424 Blue Cypress Dr., 92131",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Sefton Fields Portable Restroom,"2508 Hotel Circle Place, 92108",0,0,During field use,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Silver Wing Comfort Station,"3737 Arey Dr. , 92154",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Silver Wing Recreation Center,"3737 Arey Dr. , 92154",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Solana Ranch Park Comfort Station,13605 Pacific Highlands Ranch Pkwy 92130,0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
South Clairemont Recreation Center,"3577 Clairemont Dr., 92117",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Southcrest Comfort Station,"1297 S 40th St, 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Southcrest Recreation Center,"1297 S 40th St, 92113",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Southcrest Teen Center,"1297 S 40th St, 92113",0,0,Teen Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Spring Canyon Comfort Station,"11157 Scripps Poway Pkwy., 92131",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Standley Recreation Center,"3547 Governor Dr., 92122",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Stonebridge Comfort Station,15030 Sycamore Trail Road,0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Sunshine Berardini Field Comfort Station,"4416 Federal Blvd., 92102",0,0,Little League Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Sycamore Canyon Comfort Station,13745 Stonebridge Pkwy.,0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tecolote Comfort Station,"1701 Tecolote Rd., 92110",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tecolote Recreation Center,"1701 Tecolote Rd., 92110",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Teralta Comfort Station,"4100 Central Ave., 92105",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tierrasanta Comfort Station,"11220 Clairemont Mesa Bl., 92124",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Willie Henderson Sports Complex Portable Restroom,"1092 S 45th Street, 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Willie Henderson Sports Complex Recreation Center,"1092 S 45th Street, 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Gaslamp Square Park (Tin Fish Restaurant),"170 Sixth Avenue, 92101",0,0,6:00am - 9:00pm,6x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tecolote Nature Center,"5180 Tecolote Rd, 92110",0,0,7:30am - 3:30pm,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Horton Plaza Park,"900 Fourth Ave, 92101",0,0,Temporarily Closed,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Civita Central Park - South,"7960 Civita Blvd, 92108",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Civita Central Park - North,"7960 Civita Blvd, 92108",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tierrasanta Hex Building,"11220 Clairemont Mesa Bl., 92124",0,0,Building Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tierrasanta Recreation Center,"11220 Clairemont Mesa Bl., 92124",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Torrey Highlands Comfort Station,"4450 Lansdale Dr., 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Torrey Pines Golf Clubhouse,"11480 N. Torrey Pines Rd., 92037",0,0,Clubhouse Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Tourmaline Surfing Beach Restroom,"601 Tourmaline Street, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
University Gardens Comfort Station,"6431 Gullstrand Street, 92122",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Views West Comfort Station,"12904 La Tortola, 92129",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ward Canyon Comfort Station,"4642 40th Street, 92116",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Westview Comfort Station,"11278 Westview Parkway, 92126",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Windansea Beach Portable Restroom,"6950 Neptune Place, 92037",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Frisbee Golf Course Comfort Station,"3090 Pershing Drive, 92104",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
La Jolla Athletic Area Portable Restroom,"4636 Torrey Pines Road, 92130",0,0,During field use,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Bahia Comfort Station,"Gleason Road, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mount Hope Cemetery Main Office,"3700 Imperial Ave, 92113",0,0,8:00am - 3:30pm Mon-Fri 8:00am - 4:00pm Weekends,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Nobel Athletic Area Comfort Station,"8810 Judicial Drive, 92121",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Nobel Recreation Center,"8810 Judicial Drive, 92121",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ocean Beach Park - Abbott Street / Santa Monica Avenue Comfort Station,At OB Lifeguard Tower,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ocean Beach Park - Brighton Avenue / Spray Street Comfort Station,"End of Brighton Ave, 92107",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Ocean Beach Park - Niagara Avenue Comfort Station,Niagara Avenue,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Beach Drive (between Ocean Front Walk and Mission Boulevard) Comfort Station,Ocean Front Walk and Mission Boulevard,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Beach Park - Ocean Front Walk / Diamond Street Comfort Station,Ocean Front Walk and Diamond Street,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Beach Park - Ocean Front Walk / Grand Avenue Comfort Station,Ocean Front Walk and Grand Avenue,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Beach Park - Palisades - Ocean Front Walk / Law Street Comfort Station,Ocean Front Walk and Law Street,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Presidio Park - Cosoy Way Comfort Station,Cosoy Way,0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Presidio Park - Palm Canyon Comfort Station,Off Taylor Street at Palm Canyon Entrance,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Solana Highlands Elementary Comfort Station,"3894 Long Run Dr., 92130",0,0,Joint Use Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Solana Ranch Comfort Station,"13597 Pacific Highlands Pkwy., 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
South Mission Beach - Ocean Front Walk / North Jetty Road Comfort Station,Ocean Front Walk / North Jetty Road,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Sunset Cliffs Natural Park Portable Restroom,"Ladera St. Parking Lot, 92106",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Torrey Meadows Comfort Station,"13516 Torrey Meadows Dr., 92129",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Fanuel Park Comfort Station,South End of Fanuel Street at Bayside Walk,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - El Carmel Comfort Station,End of El Carmel Place,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - North Cove Comfort Station,North end of frontage road next to Ingraham Street,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - De Anza North Comfort Station,"3000 N Mission Bay Dr, San Diego, CA 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - South Shores Comfort Station,"S Shores Park Driveway, 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Vacation Isle West Comfort Station,West of Model Yacht Pond and south of Paradise Point,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - De Anza South Comfort Station,"3000 N Mission Bay Dr, San Diego, CA 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Ski Beach Middle Comfort Station,East side of Ingraham Street near Ski Beach parking lot,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Ski Beach South Comfort Station,East side of Ingraham Street near Ski Beach parking lot,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Ski Beach North Comfort Station,East side of Ingraham Street near Ski Beach parking lot,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Trails Regional Park East Fortuna Staging Area Comfort Station,Equestrian Circle,0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Trails Regional Park Visitors Center,"1 Father Junipero Serra Trail, 92119",0,0,Visitor Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Trails Regional Park Kumeyaay Campground,"2 Father Junipero Serra Trail, 92119",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Montgomery-Waller Comfort Station,"3020 Coronado Ave., 92154",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Vacation Isle East Comfort Station,East of Model Yacht Pond and south of Paradise Point,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Dana Basin Comfort Station,Next to Dana Landing Boat Ramp,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Crown Point South Comfort Station,"Crown Point Dr/Corona Oriente Rd., 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mission Bay Park - Crown Point North Comfort Station,"Crown Point Dr/Corona Oriente Rd., 92109",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Balboa Drive and Juniper Street Comfort Station,"Balboa Drive and Juniper Street, 92103",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Morley Field Drive at Ball Fields Comfort Station,"Joe Schloss Way, 92104",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Morley Field near Balboa Tennis Complex,"2221 Morley Field Drive, 92104",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Morley Field Velodrome Comfort Station,"2516 Pershing Drive, 92104",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Morley Field/Bocce Ball-Jacaranda Comfort Station,"Jacaranda Place, 92104",0,0,Closed Nightly,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - North Pepper Grove Comfort Station,"Pepper Grove, 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - South Pepper Grove Comfort Station,"Pepper Grove, 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Spreckles Organ Pavilion Comfort Station,"2125 Pan American Road East, 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Black Mountain Ranch Portable Restroom,"14700 Carmel Valley Road, 92128",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Cabrillo Recreation Center,"3120 Talburt St., 92106",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Creek Comfort Station,"4260 Carmel Center Road, 92103",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel del Mar Comfort Station,"12345 Carmel Park Drive, 92103",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Chollas Lake Comfort Station,"6350 College Grove Dr., 92105",0,0,Sunrise to Sunset,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Chollas Park - North Chollas Comfort Station,Chollas Station Road,0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Civita Park Comfort Station (Lower),"7964 Civita Blvd., 92111",0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Civita Park Comfort Station (Upper),"7964 Civita Blvd., 92111",0,0,Sunrise to Sunset,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Colina del Sol Recreation Center,"4150 54th Place, 92115",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Colina del Sol Pool,"4150 54th Place, 92115",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Colina del Sol Comfort Station,"4150 54th Place, 92115",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Golden Hill Comfort Station #2,"25th St. & Golden Hill Dr., 92102",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Montgomery-Waller Recreation Center,Unknown,0,0,Unknown,Unknown,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Hickman Field Portable Restroom,"Pepper Grove, 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Spanish Landing Park West - Comfort Station - Central,"3900 N Harbor Dr, San Diego, CA 92101",0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Harbor Island Park - Comfort Station,"1875 Harbor Island Dr, San Diego, CA 92101",0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Broadway Landing - Comfort Station,"1145 N Harbor Dr, San Diego, CA 92101",0,0,24 hrs.,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Seaport Village Restroom - East,"803 W Harbor Dr, San Diego, CA 92101",0,0,11:00am - 7:00pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Tuna Harbor - G Street Mole - Comfort Station,G St and Tuna Ln Park,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Embarcadero Marina Park North - Comfort Station,"West of Seaport Village, Foot of Marina Park Way",0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Embarcadero Marina Park South - Comfort Station,Marina Park Way,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
The Hilton,One Park Boulevard; attached to the public parking garage,0,0,Unknown,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Fifth Avenue Landing - Comfort Station,Waterfront @ 5th,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Ruocco Park - Comfort Station - Concession Stand,Harbor-Pacific Highway,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Clay Neighborhood Park Portable Restrooms,"4767 Seminole Dr., 92115",0,0,24 hrs.,3x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Old Central Library Portable Restrooms,"9th St. and E St., 92101",0,0,24 hrs.,3x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Pacific Beach Library Portable Restrooms,"4275 Cass St, San Diego, CA 92109",0,0,24 hrs.,3x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
One America Plaza,"600 West Broadway, San Diego, CA 92101",0,0,7:00am - 7:00pm,Unknown,True,Unknown,[],Irvine Company,Unknown,1703891400.79689,1703891400.79689
County Waterfront Park,"Harbor Drive at West Beech Street, San Diego, CA 92101",0,0,6:00am - 10:00pm,Unknown,True,Unknown,[],County of San Diego,Unknown,1703891400.79689,1703891400.79689
Neil Good Day Center,"299 17th Street, San Diego, CA 92101",0,0,6:00am - 4:00pm,Unknown,True,Unknown,[],St. Vincent de Paul,Unknown,1703891400.79689,1703891400.79689
St. Vincent de Paul,"1501 Imperial Avenue, San Diego, CA 92101",0,0,24 hrs.,Unknown,True,Unknown,[],St. Vincent de Paul,Unknown,1703891400.79689,1703891400.79689
The Legend,"Outfield Park 8th Avenue, San Diego, CA 92101",0,0,7:00am - Sunset. Note: Hours of operation and access may vary due to special events.,Unknown,True,Unknown,[],East Village Square,Unknown,1703891400.79689,1703891400.79689
Cesar Chavez Park - Comfort Station,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
America's Cup Harbor - Comfort Station - Shore Facility,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Shelter Island Shoreline Park - Comfort Station - Boat Launch Facility,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Shelter Island Shoreline Park - Comfort Station - Shoreline Park South,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Harbor Control Facility - Comfort Station - Transient Dock,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Spanish Landing Park West - Comfort Station - West,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Spanish Landing Park East - Comfort Station,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Embarcadero Crescent - Comfort Station,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Land Field Park - Comfort Station,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Seaport Village - Restroom - West,Unknown,0,0,11:00am - 7:00pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Seaport Village - Restroom - Central,Unknown,0,0,11:00am - 7:00pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Rady Shell at Jacobs Park - Restroom,Unknown,0,0,6:00am - 10:30pm,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Broadway Pier - Restroom,Unknown,0,0,Sunrise-Sunset,Unknown,True,Unknown,[],Port of San Diego,Unknown,1703891400.79689,1703891400.79689
Park Blvd & Market St,Park Blvd & Market St,0,0,6:00am - 10:00pm,Unknown,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park Golf Course - 9-Hole On-Course Restroom,"2600 Golf Course Dr., 92102",0,0,On Course Dawn to Dusk,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
