site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
City Heights Recreation Center,"4380 Landis St., 92105",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
City Heights Swim Center Pool,"4380 Landis St., 92105",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Capehart Dog Off-Leash Area Portable Restroom,"4700 Soledad Mountain Road, 92109",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Clairemont Pool,"3605 Clairemont Dr., 92117",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Mountain Ranch-Sabre Springs Comfort Station,"10166 Rancho Carmel Dr., 92128",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Mountain Recreation Center,"10166 Rancho Carmel Dr., 92128",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Cypress Canyon Comfort Station,"11470 Cypress Canyon Rd., 92131",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Valley Comfort Station,"3751 Townsgate Dr., 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Valley Pool,"3777 Townsgate Dr., 92130",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Valley Recreation Center,"3751 Townsgate Dr., 92130",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Carmel Valley Skate Park,"12600 El Camino Real, 92130",0,0,Skate Park Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Cesar Chavez Community Center at Larsen Field,"455 Sycamore Rd., 92173",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Cesar Solis Comfort Station,"4901 Del Sol Blvd., 92154",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Charles Lewis III Memorial Comfort Station,"4632 Home Ave., 92105",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Gompers Comfort Station,"4926 Hilltop Dr., 92102",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Chicano Park Comfort Station,1986 Logan,0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Hawk Comfort Station,"4990 Guymon St., 92102",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Cliffridge Comfort Station,"8301 Cliffridge Dr., 92037",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Hourglass Comfort Station,"9490 Gold Coast Dr., 92126",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Hourglass Pool,"10440 Black Mtn. Rd., 92126",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Dana Middle School Comfort Station,"1775 Chatsworth Blvd., 92106",0,0,Joint Use Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
De Portola Middle School Comfort Station,"11010 Clairemont Mesa Blvd., 92124",0,0,Joint Use Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
La Jolla Recreation Center,"615 Prospect Street, 92037",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Del Sur Comfort Station,"Paseo Montenero & Old Stonefield Chase, 92127",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Dennis V. Allen Comfort Station,"800 Boundary St., 92102",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Dorothy Petway Comfort Station,"1367 Rigel St., 92113",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Lopez Ridge Recreation Center,"7245 Calle Cristobal, 92126",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Doyle Community Park Comfort Station #1,"3950 Berino Court, 92122",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Doyle Community Park Comfort Station #2,"3950 Berino Court, 92122",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Doyle Community Park Recreation Center,"3950 Berino Court, 92122",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Dusty Rhodes Comfort Station,"2500 Sunset Cliffs Blvd.,92107",0,0,8:00am - Dusk,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Memorial Pool,"2902 Marcy Ave., 92113",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Mid-City Gymnasium,"4302 Landis St., 92105",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
East Clairemont Athletic Area Comfort Station,"3451 Mt. Acadia Boulevard, 92111",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
