id,site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
fe6da12b-6a6f-4897-9d70-3841fa1dc610,Carmel Valley Skate Park,"12600 El Camino Real, 92130",,,Skate Park Hours,Daily,,,,City of San Diego,,,
aa532f77-09a1-46fc-9ec5-51bf3331737d,Cesar Chavez Community Center at Larsen Field,"455 Sycamore Rd., 92173",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
81a3faeb-089a-46fc-a922-9d3966048f8d,Cesar Solis Comfort Station,"4901 Del Sol Blvd., 92154",,,24 hrs.,Daily,,,,City of San Diego,,,
9d04178b-d8e7-431f-81ce-6d701fa62f72,Charles Lewis III Memorial Comfort Station,"4632 Home Ave., 92105",,,24 hrs.,Daily,,,,City of San Diego,,,
2506399d-2dbd-4cee-ac7b-eaee6b925e9d,Gompers Comfort Station,"4926 Hilltop Dr., 92102",,,24 hrs.,Daily,,,,City of San Diego,,,
982f0ae2-cb81-4ef8-a765-10dbe8bb362d,Chicano Park Comfort Station,1986 Logan,,,24 hrs.,2x/day,,,,City of San Diego,,,
edc14ea6-8d62-4e4f-a1df-a67bb6ff1d96,Hawk Comfort Station,"4990 Guymon St., 92102",,,24 hrs.,Daily,,,,City of San Diego,,,
a0e3d37f-1f55-454c-83a5-2124d5b984dd,Cliffridge Comfort Station,"8301 Cliffridge Dr., 92037",,,24 hrs.,Daily,,,,City of San Diego,,,
b9022fba-382f-424f-9247-67867eb4a924,Hourglass Comfort Station,"9490 Gold Coast Dr., 92126",,,24 hrs.,Daily,,,,City of San Diego,,,
72b88e4d-2693-4867-a3df-cc7b48db9441,Hourglass Pool,"10440 Black Mtn. Rd., 92126",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
ecfd7b5a-a284-4856-8fc6-205e1d05c1af,Dana Middle School Comfort Station,"1775 Chatsworth Blvd., 92106",,,Joint Use Hours,Daily,,,,City of San Diego,,,
b0cf1526-75e5-4355-9ed6-592e88b35e02,De Portola Middle School Comfort Station,"11010 Clairemont Mesa Blvd., 92124",,,Joint Use Hours,Daily,,,,City of San Diego,,,
ecafd570-a896-45e1-9f4e-5e93946e3f06,La Jolla Recreation Center,"615 Prospect Street, 92037",,,24 hrs.,Daily,,,,City of San Diego,,,
e272337d-d367-4fec-8770-fb5e1688834b,Del Sur Comfort Station,"Paseo Montenero & Old Stonefield Chase, 92127",,,24 hrs.,Daily,,,,City of San Diego,,,
3b21dd37-25af-4e09-bfc0-b1f1a89f4945,Dennis V. Allen Comfort Station,"800 Boundary St., 92102",,,24 hrs.,Daily,,,,City of San Diego,,,
310be7be-191c-48c8-a85d-9e4abf43556d,Dorothy Petway Comfort Station,"1367 Rigel St., 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
d972e82e-b8d4-4ad5-b341-0e8939e48ef8,Lopez Ridge Recreation Center,"7245 Calle Cristobal, 92126",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
9816806f-664e-401f-9c6e-e54f3f6572aa,Doyle Community Park Comfort Station #1,"3950 Berino Court, 92122",,,24 hrs.,Daily,,,,City of San Diego,,,
ff43c399-5a34-4bbf-921a-3e97079fb018,Doyle Community Park Comfort Station #2,"3950 Berino Court, 92122",,,24 hrs.,Daily,,,,City of San Diego,,,
e37c9212-5e5c-4e19-bedb-10113a7c10ff,Doyle Community Park Recreation Center,"3950 Berino Court, 92122",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
92c33d06-7e04-4163-8572-96a1dcf5379a,Dusty Rhodes Comfort Station,"2500 Sunset Cliffs Blvd.,92107",,,8:00am - Dusk,Daily,,,,City of San Diego,,,
92a0ce47-11cc-41e3-85df-21eb11bf8734,Memorial Pool,"2902 Marcy Ave., 92113",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
1e662394-a715-4087-97eb-fc9eca5a4d78,Mid-City Gymnasium,"4302 Landis St., 92105",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
56cb75fe-2cb2-4a25-baa4-b8490585dde8,East Clairemont Athletic Area Comfort Station,"3451 Mt. Acadia Boulevard, 92111",,,24 hrs.,Daily,,,,City of San Diego,,,
aef3abc0-6ba7-46f3-a21c-2d4dc192fc92,Mira Mesa Comfort Station,"8575 New Salem Street, 92126",,,24 hrs.,Daily,,,,City of San Diego,,,
bbef4fee-8c7e-4453-867e-8558b1562147,Mira Mesa Gil Johnson Recreation Center,"8575 New Salem Street, 92126",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
c317c765-0f31-402a-9d6b-a2ccb1729dd6,Elizabeth Rabbitt Comfort Station,"6622 Duck Pond Lane, 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
cd8658ab-4772-4672-84a6-dbb1c9a96f3c,Miramar Overlook Comfort Station,"11417 Scripps Ranch Blvd, 92131",,,7:00am - Dusk,Daily,,,,City of San Diego,,,
8eb8d35a-bf24-4294-93c7-35242a9bfeac,Ellen Browning Scripps (La Jolla Cove) Comfort Station,"1146 Coast Blvd., 92037",,,24 hrs.,2x/day,,,,City of San Diego,,,
8828b40e-e928-4186-9416-e5ad7ba8e62e,Mission Bay Golf Clubhouse,"2702 N. Mission Bay Dr., 92109",,,Clubhouse Hours,2x/day,,,,City of San Diego,,,
3996ec06-6428-4f39-8073-efd812f09beb,Emerald Hills Comfort Station,"1501 Kelton Road, 92114",,,24 hrs.,Daily,,,,City of San Diego,,,
7d289f28-f070-423e-96f0-7f53b8d90258,Encanto Comfort Station,"6508 Wunderlin Ave., 92114",,,24 hrs.,Daily,,,,City of San Diego,,,
e0fcf249-beda-4017-92b4-21a1ea50b283,Encanto Recreation Center,"6508 Wunderlin Ave., 92114",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
88fe825f-0799-479e-b1ab-5bc8e8130a98,Encanto Teen Center,"6508 Wunderlin Ave., 92114",,,Teen Center Hours,Daily,,,,City of San Diego,,,
51646aa0-71b7-4b29-a56c-fd6e00705c32,Mission Bay Park - Fiesta Island Youth Camp Comfort Station,"1750 Fiesta Island Rd, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
db5feea7-6e82-4e7d-84e4-5c25927aa9ac,,Mission Bay Park - Robb Field Jim Howard Hall,,,"2525 Bacon Street, 92107",Building Hours,,,,2x/day,City of San Diego,,
76e1961e-0e5f-41f8-972f-06f9f6610815,Mission Bay Park - Robb Field Recreation Center,"2525 Bacon Street, 92107",,,Rec. Center Hours,2x/day,,,,City of San Diego,,,
6d6b0c86-6902-4494-8ad1-bea7bae4c36e,Mission Bay Park - Robb Field Restroom #1,"2525 Bacon Street, 92107",,,During Field Use,2x/day,,,,City of San Diego,,,
9e016d6b-2fc5-49ec-8948-caab20470066,Mission Bay Park - Robb Field Restroom #2,"2525 Bacon Street, 92107",,,8:00am - Dusk,2x/day,,,,City of San Diego,,,
b07c7bf2-9da7-440f-8ad6-8b050acde7e5,Faultline Park,14th Street and Island Avenue,,,6:00am - 9:00pm,Daily,,,,City of San Diego,,,
110ee2ed-d4d4-4659-be33-16cf555767c3,Mission Beach Park/Belmont Park - Ocean Front Walk at South Parking Lot Comfort Station,"3146 Mission Blvd, San Diego, CA 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
8dc91fce-9875-4e68-9960-ad6ac6420d4c,Mission Beach Park/Belmont Park - Ocean Front Walk/Ventura Place Comfort Station,"3146 Mission Blvd, San Diego, CA 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
916d3bad-b8b6-4f9a-a57b-eb36901f9d5c,Golden Hill Comfort Station #1,"27th St. & Russ Blvd., 92102",,,24 hrs.,Daily,,,,City of San Diego,,,
9693e22b-bb80-498c-89f2-459ac7e29c62,Golden Hill Recreation Center,2600 Golf Course Dr. 92102,,,Rec. Center Hours,Daily,,,,City of San Diego,,,
a788e5b3-c7ea-478e-8036-5d9700c7d8c0,Grant Hill Portable Restroom,"2632 J St, 92102",,,24 hrs.,Daily,,,,City of San Diego,,,
0b3b9c60-b426-4c46-be2b-a827176a3533,Highland Ranch Comfort Station,"12140 Eastbourne Road, 92128",,,24 hrs.,Daily,,,,City of San Diego,,,
7afb02a2-dd74-4b77-9212-66b04b78366a,North Clairemont Recreation Center,"4421 Bannock Avenue, 92117",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
a9b373c7-43b7-4cff-9a3b-bb2e3bc24afa,North Park Comfort Station,"4044 Idaho St., 92104",,,24 hrs.,Daily,,,,City of San Diego,,,
c5418944-3db6-4371-a868-dfe09cfa305a,Hilltop Recreation Center,"14000 McEntee St., 92129",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
ba1560d6-2d6a-4183-b77d-80089f42d019,North Park Recreation Center,"4044 Idaho St., 92104",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
ae375a26-d174-4995-99c4-421f4bfc8009,Hollywood Comfort Station,"2301 Shamrock St., 92105",,,24 hrs.,Daily,,,,City of San Diego,,,
6786b800-63b9-4aca-860d-011a54f5b80f,Ocean Air Comfort Station,"4770 Fairport Ave, 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
62bd9084-0357-4572-990c-08d0e0094cbf,Ocean Air Recreation Center,"4770 Fairport Ave, 92130",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
e8376b4c-9975-422d-813f-1eb897346413,Jerabek Comfort Station,"10150 Avenida Magnifica, 92131",,,24 hrs.,Daily,,,,City of San Diego,,,
5f86bbf3-0a5c-44c8-b0c3-3cf0de29cc9a,Otay Valley Regional Park Ranger Station,"2155 Beyer Boulevard, 92154",,,8:00am - 5:00pm,Daily,,,,City of San Diego,,,
67824131-84e3-4fb3-bac7-6f5c19b0f4a8,John F. Kennedy Comfort Station,"4825 Ocean View Bl., 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
0c7d959c-581d-4851-9f2d-891a64f0d413,Pacific Beach Recreation Center,"1405 Diamond Street, 92109",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
6f4b6596-179b-4377-b085-38abc20b4fa6,Kate Sessions Memorial Comfort Station,"5115 Soledad Road, 92109",,,24 hrs.,Daily,,,,City of San Diego,,,
11ed7ea7-d633-4e17-904a-d26a99d6c41c,Pacific Highlands Ranch Community Park Comfort Station,"5977 Village Center Loop Road, 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
e0e8ae6b-dc8b-4c06-9a4f-91fb43f35a82,Kearny Mesa Comfort Station #1,"3170 Armstrong Street, 92111",,,24 hrs.,Daily,,,,City of San Diego,,,
4a24bafb-6451-4548-9b7e-def45df2c23a,Kearny Mesa Comfort Station #2,"3170 Armstrong Street, 92111",,,24 hrs.,Daily,,,,City of San Diego,,,
8c5eb46e-1d2b-46cc-8b30-d5dbc4498935,Kearny Mesa Pool,"3170 Armstrong Street, 92111",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
c62acfd3-6d27-4a62-b2a4-547891038e97,Kearny Mesa Recreation Center,"3170 Armstrong Street, 92111",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
345f1c49-ae3f-48d3-a421-48230c9e4421,Paradise Hills Comfort Station,"6610 Potomac St., 92139",,,24 hrs.,Daily,,,,City of San Diego,,,
cf473bfe-cfe1-40b1-9403-e1cf1f5f4d49,Paradise Hills Recreation Center,"6610 Potomac St., 92139",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
ecc268c9-571a-4e5d-8706-07b77a165438,Keiller Comfort Station,"7400 Lisbon St., 92114",,,24 hrs.,Daily,,,,City of San Diego,,,
51c3fe53-cad9-4d75-a7ba-7046041af855,Penn Athletic Field Recreation Center (School of Creative and Performing Arts),"2425 Dusk Ave., 92139",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
51f3e79a-6c73-44b0-ac4a-f6f331c08dae,Kellogg (La Jolla Shores) Comfort Station North,"8300 Camino Del Oro, 92037",,,24 hrs.,2x/day,,,,City of San Diego,,,
134bf9c0-ad6f-45a4-ace3-1a727d89c449,Kellogg (La Jolla Shores) Comfort Station South,"8300 Camino Del Oro, 92037",,,24 hrs.,2x/day,,,,City of San Diego,,,
77b2269e-eb00-4533-82d7-99253ee676e3,Kelly Street Comfort Station,"6640 Kelly Street, 92111",,,24 hrs.,Daily,,,,City of San Diego,,,
bc58be57-c2c4-490e-8c7b-d33cf88c48d3,Lake Murray Comfort Station,"7051 Murray Park Drive, 92120",,,Sunrise to Sunset,Daily,,,,City of San Diego,,,
008b40ab-79db-4493-acff-ca22743e7383,Lakeview Comfort Station,"10788 Mira Lago Trail, 92131",,,7:00am - Dusk,Daily,,,,City of San Diego,,,
770a898c-1ee6-4c1a-a078-6dafa9f7041c,Linda Vista Comfort Station,"6842 Osler St, 92111",,,9:00am - 9:00pm,Daily,,,,City of San Diego,,,
2515b44c-4c1b-4d44-9772-f18901f67b5e,Linda Vista Gymnasium,"6842 Osler St, 92111",,,Gym Hours,Daily,,,,City of San Diego,,,
acff79ab-8e0b-445b-b770-d19680f2c36a,Linda Vista Recreation Center,"7064 Levant St., 92111",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
346e3330-6e72-4976-a141-c72709abb66b,Lindbergh Comfort Station,"4141 Ashford Street, 92111",,,24 hrs.,Daily,,,,City of San Diego,,,
c337e8c3-c8d1-40e4-bcc7-8b5a287a23ef,San Ysidro Community Center (Casa Familiar),"247 E Park Ave., 92173",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
16608198-f557-45e6-b476-8362a636d905,Marie Widman Memorial Comfort Station,"6727 Imperial Ave., 92114",,,24 hrs.,Daily,,,,City of San Diego,,,
1b129bd4-06c5-4902-a178-8a6d2b9cf2d5,Marshall Middle School Comfort Station,"9700 Avenue of Nations, 92131",,,Joint Use Hours,Daily,,,,City of San Diego,,,
7e153667-5b04-4ab4-851a-b0e8eaa59ae3,Serra Mesa Recreation Center,"9020 Village Glen Drive, 92123",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
734299e7-ba0e-40e4-8873-3c387eb3d3f8,"Martin Luther King, Jr. Comfort Station","6407 Skyline Dr., 92114",,,24 hrs.,Daily,,,,City of San Diego,,,
0438dda3-945a-4ae9-a41e-a3c9d4e6604d,"Martin Luther King, Jr. Pool","6407 Skyline Dr., 92114",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
e9633b40-47a2-48e3-a521-2095d70fcceb,Skyline Hills Comfort Station,"8285 Skyline Dr., 92114",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
5d451463-8415-4911-afc0-9b9bf9cab97d,Skyline Hills Recreation Center,"8285 Skyline Dr., 92114",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
b31dd870-c44c-451b-9a5f-39032ec785b7,"Martin Luther King, Jr. Recreation Center","6407 Skyline Dr., 92114",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
fcdfbcdc-5c97-4c90-a155-c2e671370d0c,Memorial Comfort Station,"2947 Ocean View Blvd., 92113",,,24 hrs.,Daily,,,,City of San Diego,,,
c0c065ec-006c-4bf9-80e7-62636b10bca8,Memorial Dolores Magdaleno Recreation Center,"2947 Ocean View Blvd., 92113",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
badb4ce6-6e1b-40d3-b9e9-6e3e1bd1632d,South Creek Comfort Station,"12245 Wickerbay Cove, 92128",,,24 hrs.,Daily,,,,City of San Diego,,,
0fab9a09-51fe-4270-8a99-f382eb917abf,Mira Mesa Comfort Station,"8460 Mira Mesa Blvd., 92126",,,Senior Center Hours,Daily,,,,City of San Diego,,,
b189c73b-ae65-4941-a5e0-156ae2df28b4,South Village Comfort Station,"9353 Oviedo Street, 92129",,,24 hrs.,Daily,,,,City of San Diego,,,
b9d8d228-fc15-4a2c-a145-82e2671b2748,Mission Bay Athletic Area/Bob McEvoy Field Comfort Station,"2697 Grand Ave., 92109",,,24 hrs.,Daily,,,,City of San Diego,,,
a1c644c8-60a4-4fff-a811-0500a2b60114,Stockton Recreation Center – King Chavez Elementary School,"415 31st St., 92102",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
dbe23f63-1032-4cde-8cd0-e713526665be,Mission Bay Park - Bonita Cove East Comfort Station,"1100 W Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
cf730b5a-968f-4f43-8bba-83a9d641fa70,Swanson Pool,"3585 Governor Dr., 92122",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
ebf73d2a-f039-461a-bc81-e99892d62f9f,Mission Bay Park - Bonita Cove West Comfort Station,"1100 W Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
722dceb7-5a66-499b-9a86-280b0fb0a5f6,Mission Bay Park - Hospitality Point Comfort Station,"2536 Quivira Ct, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
b63b990b-347e-43e4-b04c-902372c60879,East Village Green - 1330 G Street Portable Restroom,"1330 G Street, 92101",,,24 hrs.,3x/day Temp,,,,City of San Diego,,,
77a1b6da-e993-4328-b1d2-993b3d053d06,16th Street and Imperial Avenue Portable Restrooms,"101 16th Street, 92101",,,24 hrs.,3x/day Temp,,,,City of San Diego,,,
b7120ff7-09e1-414b-8d18-c275ba8430dd,City Adminstration Building,"202 C Street, 92101",,,24 hrs.,6x/day,,,,City of San Diego,,,
76827e6f-be8d-42cd-a935-a0c189145674,Mission Bay Park - Mission Point Comfort Station,"2600 Bayside Ln, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
bfb17e2d-ebde-45bd-835a-3625fff2d60a,Park de la Cruz Community Center,"3901 Landis St, 92105",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
4f0e335a-a52c-4e2c-8b13-ca6b1a6aa0c1,Park de la Cruz Gymnasium,"3901 Landis St, 92105",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
9bcebfa6-4012-4791-bd1a-5bbf38e31207,Old San Ysidro Library,"101 West San Ysidro Blvd, 92173",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
b4f504c4-a020-4af4-8bcd-df621d56ad91,Tierrasanta Pool,"11238 Clairemont Mesa Bl., 92124",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
f9ff40e5-888d-4c9f-bc34-3c3c6594555e,Torrey Hills Comfort Station,"4262 Calle Mejillones, 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
ac52953c-58fd-4454-8f68-b5098ec9d923,Mission Bay Park - Santa Clara Point North Comfort Station,"1008 Santa Clara Pl., 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
9489d12f-b355-4a9a-8dbc-a23b6e6e7fa7,Vista Pacifica Comfort Station,"6066 Avenida de las Vistas, 92154",,,24 hrs.,Daily,,,,City of San Diego,,,
d2ab79fe-67ab-44a9-afa9-00cb3da59c04,Mission Bay Park - Playa Pacific 1 Comfort Station,"1093 E Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
6346abdf-0292-468b-aea6-a720167989d4,Vista Terrace Comfort Station,"301 Athey Ave., 92173",,,24 hrs.,Daily,,,,City of San Diego,,,
c77a73f5-76cb-4685-8665-6882d16b25a0,Vista Terrace Pool,"301 Athey Ave., 92173",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
106ba6f0-9768-4dbc-8f8c-43f02fb53c43,Mission Bay Park - Playa Pacific 2 Comfort Station,"1093 E Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
4182bd6d-3b11-4ef9-914a-f80d5c795079,Wegeforth Elementary School Comfort Station,"3443 Ediwhar Ave., 92123",,,During joint use hours,Daily,,,,City of San Diego,,,
ab7e4a04-28db-415c-a529-020a590bd9c7,Mission Bay Park - Playa Pacific 3 Comfort Station,"1093 E Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
da9be9bf-dc9a-426e-8f17-94747e32ba40,Mission Bay Park - Robb Field Restroom #3,"W. Pt. Loma Blvd. & Bacon St., 92107",,,8:00am - Dusk,2x/day,,,,City of San Diego,,,
42f42ce7-b402-4c07-b090-7eb062618b0e,Mission Bay Park - Santa Clara Recreation Center,"1008 Santa Clara Pl., 92109",,,Rec. Center Hours,2x/day,,,,City of San Diego,,,
75ebe089-aea1-437e-b330-76a063ce176e,Mission Bay Park - Sunset Point Comfort Station,"1400 Dana Landing Rd, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
df3f5754-9324-4457-a006-1b3e7c0a68aa,Mission Bay Park - Tecolote North Comfort Station,"1740 E Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
889f9828-ba1c-41b8-9996-c085401939b1,Mission Bay Park - Tecolote South Comfort Station,"1740 E Mission Bay Dr, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
5c8aaabb-105b-4a92-9916-c26785425e0e,Mission Bay Park - Ventura Point Comfort Station,"3211 Gleason Road, 92109",,,24 hrs.,2x/day,,,,City of San Diego,,,
bda6db81-17f4-4728-b562-25eb8a672074,Mission Hills Comfort Station,"1586 Washington Place, 92103",,,24 hrs.,2x/day,,,,City of San Diego,,,
9a342ffb-67cf-4427-a0ce-f0100ed089e7,Mission Trails Cowles Mountain Comfort Station,"7001 Golfcrest Drive, 92119",,,24 hrs.,Daily,,,,City of San Diego,,,
